,_id_rank,日期_rank,开盘_rank,收盘_rank,最高_rank,最低_rank,成交量_rank,成交额_rank,振幅_rank,涨跌幅_rank,涨跌额_rank,换手率_rank,真实价格_rank,代码_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日成交额_rank,昨日成交量_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,过去2日总涨跌_rank,过去2日总成交额_rank,过去2日资金贡献_rank,过去3日总涨跌_rank,过去3日总成交额_rank,过去3日资金贡献_rank,过去4日总涨跌_rank,过去4日总成交额_rank,过去4日资金贡献_rank,过去5日总涨跌_rank,过去5日总成交额_rank,过去5日资金贡献_rank,过去6日总涨跌_rank,过去6日总成交额_rank,过去6日资金贡献_rank,过去7日总涨跌_rank,过去7日总成交额_rank,过去7日资金贡献_rank,过去8日总涨跌_rank,过去8日总成交额_rank,过去8日资金贡献_rank,过去9日总涨跌_rank,过去9日总成交额_rank,过去9日资金贡献_rank
"(0.0, 0.02)",0.012857132162620239,,-0.0018047828705030054,-0.0017377169787563653,-0.001744845831987288,-0.0016780829705441633,-0.020042495333976375,-0.01306199302258289,-0.021614112140537343,0.01514047273691134,-0.007386101790431573,-0.028003473183453562,-0.0024077116940277444,0.0023585196180370615,,0.011857249884947189,-0.015632344577094823,-0.012918116882071144,-0.017739675209634806,-0.002114858767645578,0.02126597185675024,0.015190212365397733,0.003752614159026163,-0.011831740710971015,0.020144509757075005,-0.0033881807311555634,-0.011964213381827968,0.017862534738801925,-0.007065754620604051,-0.010712262778888213,0.01795808955130689,-0.008373018613641326,-0.010309828258895684,0.017735686528733006,-0.010419293566904375,-0.009456506373502026,0.016529935287699377,-0.01383147543167801,-0.010440356129868255,0.01500392034910176,-0.013790249476032093,-0.010680151318532574,0.013824778935073877,-0.015256385660584331,-0.010767421400303956,0.012894439903594863
"(0.02, 0.04)",0.00452980069174651,,-0.002012544431808729,-0.0019854234391496893,-0.002029630181450019,-0.0017851843550917106,-0.016010418103989305,-0.011629825084716876,-0.010224358390642915,-0.004782609422625938,-0.002146389686677717,-0.017778127619322865,-0.00498643453281776,-0.0008842581674067047,,-0.0035772010744042973,-0.008826696646949184,-0.011674351556869147,-0.014259780485892817,-0.005021724008795022,0.008246179686497445,0.009691678946449045,-0.0061792475304084625,-0.011550903664464087,0.008846662113826427,-0.007701782569475137,-0.010808783140554083,0.011419141381187459,-0.010223273173919207,-0.01069276073334521,0.010044065842825314,-0.01076494047482717,-0.011629868047598841,0.008867705626403422,-0.01120105909035838,-0.011880584004721277,0.008430717662290513,-0.011451559730305197,-0.011133920948995842,0.008861206494899685,-0.013126546900053118,-0.009590015889756248,0.009325489036656963,-0.01156104573990874,-0.007967808202248385,0.00892103675950721
"(0.04, 0.06)",0.00039405250310114564,,-0.004783897818614609,-0.004795421444984943,-0.0044239262711008075,-0.005294996274931788,-0.011252444678774697,-0.011951912805897196,-0.008870264466274338,-0.008513199398327136,-0.003657180232662657,-0.008797723650286204,-0.0025666907135375827,0.004621975947900569,,0.0004622570174162929,-0.006676238145425008,-0.011467845684112438,-0.011386919625053832,-0.005762962154170917,0.0074767006848315085,0.010313227728529781,-0.005920021710894706,-0.00794363427774204,0.009557622258146003,-0.0040423221577091965,-0.00630784592259364,0.008651734934669574,-0.004492472529314609,-0.00567202027835712,0.007632792029696306,-0.006139723894319988,-0.004595470981464056,0.007966397049899052,-0.0060405857680663,-0.005160942725155844,0.007950542312828128,-0.004768801729448317,-0.0056260056318216106,0.008427098798327967,-0.0027360954148848695,-0.006203261188669809,0.008775392892326908,-0.006336917379292839,-0.008485473975427388,0.009595086278903946
"(0.06, 0.08)",0.006881962351030411,,-0.0021492812049002663,-0.00176532291015028,-0.001704818657009571,-0.0022594587598867536,-0.00833468381312278,-0.009446944928030887,-0.005702466322440549,-0.004436436629571063,-0.0005646038365471879,-0.008519153840742033,-0.003788024018292552,-0.0023137734723943765,,-0.0018182630222345775,-0.005714636375938383,-0.008271233028648434,-0.008386791098513636,-0.0025321964290150292,0.009203652495047423,0.008797552382214833,-0.002455053116030137,-0.009817396932629393,0.0077505145015366395,-0.002265565517202831,-0.008538065076595899,0.005280834207210446,-0.0008209967067806796,-0.008713970596528382,0.005693209368208994,-0.001849352752963666,-0.007441766429305262,0.007651818826619883,-0.0012421079643257203,-0.005671095635347414,0.008440961868981876,-0.0023995670463460624,-0.0038264223046475844,0.008151553642737636,-0.003192735432707942,-0.004050938660563466,0.007603236408574755,-0.0013882762186336595,-0.004715017313105815,0.00758383860947062
"(0.08, 0.1)",0.0006261417355563044,,0.001216806816052271,0.0007752401901353889,5.7242662825134126e-05,0.0016283130487878136,-0.006263352235490476,-0.009247012355075145,-0.003232048112826638,-0.0048605912488075284,-0.0005407028848666916,-0.0063567764185735644,0.004756966079101453,-0.0034881939628427197,,0.002307526281201599,-0.0023093894383984736,-0.008168877804560165,-0.005798807918228152,-0.002007172954362718,0.006054814540859912,0.01014137825035595,-0.0031219921915174903,-0.00883354693187288,0.005788276212869781,-0.0032412796462645637,-0.009434885226630859,0.006696923274728524,-0.0018065270592817985,-0.008817918052199527,0.007687362428857463,-0.001491739891286279,-0.00783108258784514,0.0069634589711851476,-0.0037398337675190745,-0.007769505995207808,0.006181662505280438,-4.971885576982207e-05,-0.007915325062290451,0.005423968939318802,-0.002843430674076421,-0.00749526709704202,0.005124186898415211,-0.0005567144402573776,-0.004069393539258283,0.006409908912119298
"(0.1, 0.12)",0.005155709952357241,,0.0010751097833273954,0.0011653621580372951,0.0011656429053041532,0.0017775991435544343,-0.005463611931315231,-0.007060876593009995,-0.003931363902682463,-0.0031863774120134357,-0.00108874792353179,-0.00441272446059309,-0.0070344873472445845,-0.0033477834407742582,,0.0006157274222336935,-0.002186021100718835,-0.00644456560147931,-0.005433625392493773,-0.001164313073024086,0.0077592542928092015,0.006840263203727297,-0.0021297484363991003,-0.00633001697722573,0.00893212095216515,-0.0027383087305581037,-0.006748721500590702,0.007504157537108689,-0.00012745257461309104,-0.006251328958266642,0.007315503311761012,-0.0010232741553693515,-0.007125102691392219,0.006506317828640589,0.0022493170043711022,-0.00633238843883115,0.008041811226609654,0.0001583340377315276,-0.0045579459538185926,0.009678800910791787,-0.0005488952014773654,-0.0036477252103337427,0.010640765529850589,-0.0023271371016293555,-0.003839489550651241,0.009501326590129925
"(0.12, 0.14)",-0.0007876508337899237,,-0.003880566489517484,-0.004143918905017736,-0.0038869521109932185,-0.004201161353522389,-0.006229003033362928,-0.006850876474058978,-0.0014066135564418634,-0.002810392344178572,-0.0018306565295570327,-0.0009106350171125478,-0.005666107526377692,0.003546388758460822,,-0.00044525666520028536,-0.0011941057866517982,-0.004393089579017124,-0.005906354203552649,-0.0011807110367727267,0.008096060008751764,0.006921352739789421,0.0005333090501576238,-0.0037109217204980755,0.009044963097693705,0.0012054784560583713,-0.003616593097872466,0.00877100189462275,-0.001588620220211811,-0.004304572006990502,0.009060366778057419,0.0006500608043655306,-0.0034066548707708654,0.007106908967741917,0.00012341242687530053,-0.0020607999235905967,0.007331811538332763,0.002546087051755831,-0.0030759659829892954,0.006917482633753633,0.0010754752792981226,-0.0032782377040943226,0.00544529351715362,2.5947560392390736e-05,-0.0037439993199951766,0.006464154057092284
"(0.14, 0.16)",-0.0008673950251723791,,-3.2195987381825884e-05,-0.0003405222294226146,0.00043277356204410734,-0.0010126033232784701,-0.0053750209670830225,-0.005906729818924803,-0.0022173306875221716,0.0009289641364281141,-0.002410472572739199,0.001417063890012378,6.112477917271342e-05,-0.0009736906705398558,,0.005137575816307614,-0.0019063647095513662,-0.005529012005476724,-0.005064693893019261,0.0021968040107740202,0.007404053109076354,0.005810879290003183,0.00011900001674057973,-0.0011920944098361818,0.007658046423072363,0.001837820492409683,-0.0021462505706131667,0.009058289548333015,0.0010227475925141322,-0.0008129667080542869,0.006690195046899025,-0.00119469596896539,-0.0024079731009727704,0.008218125328244827,-0.000469307398396504,-0.0026556290982940613,0.009067656684551085,0.0012191734912690587,-0.0028352174829631787,0.007045076418100314,0.0002640282486051859,-0.0035669957275785823,0.008409256014835985,0.0006603544848827053,-0.0032166790679773855,0.008337868460935711
"(0.16, 0.18)",0.00022917206076131295,,0.001043432102358769,0.001240584498420688,0.0005019967056487058,0.0017954638400217867,-0.005490642659479528,-0.001975320740261928,-0.003331521568253291,0.0020021657238507022,0.0010326015288721966,0.000754603625044695,7.503017511313798e-05,0.0010496393683862245,,0.003962415406413463,-0.003373580758997089,-0.0019763773701723278,-0.0038949641484349565,0.0023805912366631032,0.0065462274906103205,0.00531983565170283,0.00024110787600318607,-0.005145564486418407,0.0050676293636107966,0.0001448453076267441,-0.004536035437469746,0.00566327534407036,-0.0005171651339902,-0.004182715676448276,0.007463596895573011,0.002666510475564931,-0.002217599906644641,0.007934907680361598,0.0018001876130051915,-0.0018928747566918575,0.005695308943433465,0.0020707537809034984,-0.002754079569559713,0.007079051511205356,0.001045393124243591,-0.0025601073043865874,0.006942023774672204,-0.00022245180557930455,-0.002889178843243276,0.005215808654456394
"(0.18, 0.2)",0.0006537365619790245,,-0.0004159088940267322,-0.0004160780783718089,-0.001102152840437212,-0.00022659260259920888,-0.00039157409087109803,-0.004304647918771571,5.643174388005603e-05,0.0019137001865409933,-0.0009153754482173294,0.0011936721527336092,-5.6879545754620405e-05,0.00032056072162567605,,0.003800480471594157,-0.00068899691164392,-0.002534284886508139,-0.0007597370744670938,0.003025165308202452,0.006718714286872761,0.005850008893327696,0.0013339329029484635,-0.0038570279587309565,0.007481943271820078,0.0020733371784357876,-0.0035418696301216545,0.007578351772693788,0.0013707252370991948,-0.006154507579065413,0.00876291724934825,0.0021674964811064686,-0.004319777458009572,0.007229575887042667,0.001434618970256293,-0.005584647700444872,0.006806837878121241,-4.769775522806685e-06,-0.0036845095587053982,0.005739554805438145,0.001695441084357936,-0.0028645932403589835,0.0048395345333534096,0.002699464319580699,-0.004146190549149302,0.00693789249025197
